singletrial_fname	SIIPS	SIIPS_corr	SIIPS_cosine
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-006_cuetype-low.nii.gz	-2048.87444112439	-0.0637602182959094	-0.0873293848745881
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-007_cuetype-high.nii.gz	-923.602845513543	-0.0385897688814604	-0.0491396486499169
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-008_cuetype-low.nii.gz	1072.30341377363	0.0494032193969158	0.0569366687271067
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-009_cuetype-low.nii.gz	-2126.95165505704	-0.0732010192304584	-0.094650201536089
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-010_cuetype-high.nii.gz	-101.271998892133	-0.0177730607357527	-0.00550652355400712
sub-0019_ses-01_run-02_runtype-cognitive_event-cue_trial-011_cuetype-low.nii.gz	5274.68242105131	0.083853093984342	0.104418849050486
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-000_cuetype-high.nii.gz	-1475.05380278913	-0.0678556985405729	-0.0757193438077171
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz	-575.991290378212	0.0125590119463842	-0.0200897204788522
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz	-1560.58583719207	-0.0133998294346527	-0.0497391283773335
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz	389.029600826604	0.0158872086936816	0.0242289838228436
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz	-2995.13680390706	-0.0578416687190173	-0.0839566749948419
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz	-1103.18247872327	-0.0310011204039075	-0.0462525290786339
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz	-270.654043642114	0.0225123615416879	-0.0127881808031807
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-007_cuetype-high.nii.gz	-505.474144487867	-0.0136581237274604	-0.0272114655879839
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-008_cuetype-low.nii.gz	337.478576534442	0.0594568209819269	0.00686568321236532
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-009_cuetype-low.nii.gz	-240.719303014395	0.00384414559043278	-0.0143602115310496
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-010_cuetype-low.nii.gz	-610.660590679772	-0.0594020922272287	-0.0309610889463468
sub-0019_ses-01_run-03_runtype-pain_event-cue_trial-011_cuetype-high.nii.gz	-1536.37733729169	-0.0985450318235199	-0.102685337728552
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-000_cuetype-high.nii.gz	-1327.86527266746	0.0189068701888343	-0.0281333735384027
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-001_cuetype-high.nii.gz	-959.494080533097	-0.0688073908268925	-0.0403305233735474
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-002_cuetype-high.nii.gz	-1849.80386763921	-0.0466314763813507	-0.066225735576139
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz	-59.1019027457009	0.0288442519368833	-0.0020473024417783
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz	-1772.22240464622	-0.0844378180187109	-0.0932819459506258
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz	-674.555735582072	-0.0637100594308373	-0.0137005325341953
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-006_cuetype-low.nii.gz	-953.529999912145	-0.0116266950676381	-0.0398087471190977
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-007_cuetype-low.nii.gz	-429.66923524582	0.011481897740649	-0.0191055034837481
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-008_cuetype-low.nii.gz	-917.865077901438	-0.00344961221264209	-0.0298890184755112
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-009_cuetype-low.nii.gz	-231.046969703826	0.00774794699810917	-0.0100896923536268
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-010_cuetype-high.nii.gz	-152.721873970058	-0.0313653933139616	-0.00768487171563957
sub-0019_ses-01_run-04_runtype-pain_event-cue_trial-011_cuetype-low.nii.gz	-914.170580358559	-0.00592611558261708	-0.0338050967774649
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-000_cuetype-low.nii.gz	-1392.49816069289	0.00642163878885375	-0.0279315624006503
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-001_cuetype-low.nii.gz	-1680.53693426021	-0.0523009896556741	-0.071184598345673
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-002_cuetype-high.nii.gz	40.449611631745	0.00468268736842546	0.00247105363565657
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-003_cuetype-low.nii.gz	-84.4687563034125	0.0203526124368869	-0.00363606394199987
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-004_cuetype-high.nii.gz	-86.7202675336034	0.0143570782746716	-0.00484886203776471
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-005_cuetype-low.nii.gz	-119.234990601436	-0.0454376232990168	-0.00413954203684382
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-006_cuetype-low.nii.gz	2494.5164800212	0.0470961946831689	0.067652055298674
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-007_cuetype-high.nii.gz	-961.48290392323	-0.0261139940241872	-0.044112672054027
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-008_cuetype-high.nii.gz	664.952484581323	0.0106703353546767	0.0176831095261411
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-009_cuetype-high.nii.gz	-2129.01117707953	-0.0645756075528912	-0.0804937197939514
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-010_cuetype-high.nii.gz	89.7546264762069	0.0387501750968176	0.00248457948251769
sub-0019_ses-01_run-05_runtype-cognitive_event-cue_trial-011_cuetype-low.nii.gz	-743.68704044437	-0.0417577212294063	-0.0343606243439642
sub-0019_ses-01_run-06_runtype-vicarious_event-cue_trial-000_cuetype-high.nii.gz	-1738.45617895199	-0.0818485192974812	-0.0928033654762451
sub-0019_ses-01_run-06_runtype-vicarious_event-cue_trial-001_cuetype-low.nii.gz	-696.062388908057	-0.0216137411322904	-0.0425119325621111
sub-0019_ses-01_run-06_runtype-vicarious_event-cue_trial-002_cuetype-high.nii.gz	-403.460902863032	0.0127108864818994	-0.0164620503131176
sub-0019_ses-01_run-06_runtype-vicarious_event-cue_trial-003_cuetype-low.nii.gz	857.522820220107	0.0743969850474458	0.0235844908134813
