"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"128",747,747,19,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0008",6,4,3,"cognitive","stim",8,251.298990011215,5,1,"True","low_cue","high_stim",8.49588587835202,55.7995158697315,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",2.4906441159898,0.00267335697331935,0.00736206887839992,"cognitive"
"129",748,748,20,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0009",6,4,3,"cognitive","stim",9,286.59548997879,5,1,"True","low_cue","med_stim",29.1004774115434,78.0869763315993,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",15.0921632092634,0.0406070869295262,0.0409418803255134,"cognitive"
"130",749,749,21,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0010",6,4,3,"cognitive","stim",10,315.489599943161,5,1,"True","low_cue","med_stim",39.0568620470884,15.2754869139001,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-8.59820539684766,-0.0258130425287739,-0.0233767236298154,"cognitive"
"131",750,750,22,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0011",6,4,3,"cognitive","stim",11,348.00171995163,5,1,"True","high_cue","high_stim",95.7794858251559,68.1550857539656,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-7.51321810069498,-0.0192205173441554,-0.0224338183249506,"cognitive"
"132",751,751,23,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0012",6,4,3,"cognitive","stim",12,378.496429920196,5,1,"True","high_cue","high_stim",89.7661409741267,80.4615372660139,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",17.1396299807238,0.0482429592112145,0.047835367548082,"cognitive"
"133",792,792,12,"sub-0006_ses-06_run-04-cognitive_task-social-ev-stim-0001",6,4,4,"cognitive","stim",1,20.8014800548553,5,1,"True","high_cue","low_stim",65.5175141026529,79.5922886875099,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-1.96828247954471,0.00224916467518672,-0.00572473182078651,"cognitive"
"134",793,793,13,"sub-0006_ses-06_run-04-cognitive_task-social-ev-stim-0002",6,4,4,"cognitive","stim",2,47.3947401046753,5,1,"True","low_cue","med_stim",29.6591092359951,46.6272833223936,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",12.5969522681107,0.0466503844377805,0.041375419824542,"cognitive"
"135",794,794,14,"sub-0006_ses-06_run-04-cognitive_task-social-ev-stim-0003",6,4,4,"cognitive","stim",3,81.8909299373627,5,1,"True","high_cue","low_stim",39.1397230185291,20.1794586645109,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",16.5758921916093,0.0490416514176474,0.0462662160317621,"cognitive"
"136",795,795,15,"sub-0006_ses-06_run-04-cognitive_task-social-ev-stim-0004",6,4,4,"cognitive","stim",4,107.600520133972,5,1,"True","low_cue","med_stim",28.9830142410641,35.2175929681927,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-10.5785845628675,-0.0491047356642274,-0.0306722975392152,"cognitive"
"137",796,796,16,"sub-0006_ses-06_run-04-cognitive_task-social-ev-stim-0005",6,4,4,"cognitive","stim",5,134.19377040863,5,1,"True","high_cue","high_stim",64.5663162536045,39.5984075029918,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-2.4336617044822,-0.0197293025978871,-0.00676203627355592,"cognitive"
